,img,times_aug
3,D:\public\img\train\003418d64812702a483b2605f2d6b334.jpg,3x
7,D:\public\img\train\00cc8ab42292bc2826c41f8aaad87790.jpg,1x
11,D:\public\img\train\011943d949421e2e8296862bdf74ca7c.jpg,1x
12,D:\public\img\train\012312df956170a41d4ea1f7dcb94ff8.jpg,1x
14,D:\public\img\train\013be5b57f1107acda2bd04c06cabca2.jpg,3x
16,D:\public\img\train\01a98378b3fa9aa60538b722e5acf1c4.jpg,1x
28,D:\public\img\train\027408a0ea496158896d278faeaaf140.jpg,3x
33,D:\public\img\train\0298269eb5cc01952529b50a48b498ae.jpg,1x
45,D:\public\img\train\034625b3e06376d24517abc923e79d31.jpg,1x
65,D:\public\img\train\0482b6b74dfc7b14156859ca9b8057e6.jpg,1x
81,D:\public\img\train\051896cc924a37769484fa427c1c3b6b.jpg,3x
91,D:\public\img\train\05a43cc0b0ec7b82377ef0f25e866423.jpg,1x
95,D:\public\img\train\05c5faa64b55ba4022ffad3c2cdaca34.jpg,1x
102,D:\public\img\train\0641fb67663e17f3162ec3d742862110.jpg,3x
105,D:\public\img\train\065082ab96050d35bbd673d3114f65f6.jpg,1x
108,D:\public\img\train\067496381bb92538994eb03883f2d556.jpg,3x
109,D:\public\img\train\067b156978733e843efdc0e235e0f322.jpg,1x
114,D:\public\img\train\06fc7493a0df67f88be28b5e81b4f07a.jpg,1x
124,D:\public\img\train\07882d411a1508767c92933172e990ac.jpg,1x
128,D:\public\img\train\07d44bef8bfb6d9543ea8919d128cdd4.jpg,1x
139,D:\public\img\train\0894f46cb8495a227660c8fc9ad3833e.jpg,3x
143,D:\public\img\train\08b0e3d81175d39e09319da4da6393e6.jpg,1x
151,D:\public\img\train\0936f7351579e916f0f5d085271af69a.jpg,1x
155,D:\public\img\train\095147d412ff5a520e46855e36dbd099.jpg,1x
164,D:\public\img\train\0a0e0c6fa16fe04faa5564fbd1a4fda8.jpg,1x
167,D:\public\img\train\0a33a7b7928d7fc811e01ed70fdf15c8.jpg,3x
171,D:\public\img\train\0a58d8f302e341a38354ec0c870e2fa6.jpg,3x
172,D:\public\img\train\0a592667e4bd765aa67c0766cbe104c7.jpg,3x
185,D:\public\img\train\0ad854342b420daa700c9e72983bc809.jpg,3x
187,D:\public\img\train\0aec6fffb81440adce70d19b05e6582a.jpg,3x
193,D:\public\img\train\0b425d84f19bd6a0787003389b703c33.jpg,1x
197,D:\public\img\train\0b6a0e66b3a4b8c6589c9d0b2512211e.jpg,1x
204,D:\public\img\train\0c420a8271a6ee9beaf9f80024c8b926.jpg,1x
213,D:\public\img\train\0c8dfa93f2f603c042034a178db89bd7.jpg,1x
215,D:\public\img\train\0ca5218821aa5cc037ddaa7ca7fd0dc0.jpg,1x
216,D:\public\img\train\0ca75dfdbe8800334a73345259523639.jpg,3x
217,D:\public\img\train\0cd05d1193fe2d10a7eb96d8b516ac18.jpg,1x
223,D:\public\img\train\0d19e154efca0d13eab00a4b3c7afb1e.jpg,1x
228,D:\public\img\train\0d4cf92e1cc0847178f0ad79e186456d.jpg,1x
240,D:\public\img\train\0de23e11d00d6ab0f631bc27ea6220cc.jpg,1x
249,D:\public\img\train\0e50aaa5af7ae1e1c1905059b6c746d7.jpg,1x
251,D:\public\img\train\0e80c0820d934daf90347ee06a64f9d4.jpg,3x
252,D:\public\img\train\0e869c12bba3f26e1f940ea1ca4942a8.jpg,1x
253,D:\public\img\train\0e96736221229669d2ecb36c4749c37a.jpg,1x
257,D:\public\img\train\0f3d880754021519798abb1099b1c1e2.jpg,1x
259,D:\public\img\train\0f60f2a1daa9d786b680953646b56f17.jpg,3x
273,D:\public\img\train\101a2107dc724bd627d9b3c139c006f0.jpg,3x
278,D:\public\img\train\1040860fbb10538ef5080f70c6d1ed3c.jpg,3x
280,D:\public\img\train\1041fb252bb02365e436cda949c82f55.jpg,1x
283,D:\public\img\train\106f3e43f38be03a5ab935999ec90b18.jpg,1x
284,D:\public\img\train\108377aaf59effb32fc49b51cddf2e84.jpg,1x
286,D:\public\img\train\10a13c6145fbe8b94a03c08a6024f377.jpg,1x
288,D:\public\img\train\10bf4d3755af6a68ba6ae1b6cde37933.jpg,3x
290,D:\public\img\train\10d77e8f30bb5173c81d5b966bc5c447.jpg,1x
298,D:\public\img\train\1152a9665144f904afa88e544a5d847e.jpg,1x
306,D:\public\img\train\11e4348e5ced9e3f1f864536ca42f4e8.jpg,1x
313,D:\public\img\train\12398fb1ffd1dff025bee8bd2d11d8fb.jpg,1x
317,D:\public\img\train\127439506896e75865589b8331fcd8bb.jpg,3x
319,D:\public\img\train\12769f1f37526e6995a8b8a001bb48c2.jpg,1x
328,D:\public\img\train\12e6ac87e29c1eb0eabd97d110fc2fb7.jpg,1x
335,D:\public\img\train\136edfd0916f70e6d2803bf6f59a3683.jpg,1x
345,D:\public\img\train\1413b40659f634ccb866518f13b7fdb1.jpg,1x
347,D:\public\img\train\1437611885f2530187c70951a2eb1d50.jpg,1x
348,D:\public\img\train\14382973f88fe4cc469bfaa7110a7d77.jpg,3x
358,D:\public\img\train\15088e6e717a7a2221cf70c27f0aac4d.jpg,1x
362,D:\public\img\train\1560965db6baef9b48d645acf866e2ef.jpg,1x
368,D:\public\img\train\15bbd1b04fbdaca01e622859c41aeac6.jpg,3x
370,D:\public\img\train\15cf0e1de545f51547d84458731b0d76.jpg,3x
372,D:\public\img\train\15d78eac6d12dbdc632cc2819f2821b0.jpg,3x
387,D:\public\img\train\16a2a06695155a9eaa415a1854b21a67.jpg,3x
399,D:\public\img\train\173476bd6b28d4d331aa90c88a37a3b1.jpg,3x
403,D:\public\img\train\175f5726b3cc04db8bb2217b20ffa055.jpg,1x
404,D:\public\img\train\176a0878a76489473bb05eafdfa6733c.jpg,3x
406,D:\public\img\train\1792dbb8c9769cdec2941eafb7af9d4b.jpg,1x
412,D:\public\img\train\17f15214f7f66de0d9ba901dc07e544c.jpg,1x
413,D:\public\img\train\17f4cbba30db67923df1544057b0af22.jpg,1x
414,D:\public\img\train\17f7a557fa0def0a00bfa7f125a7a671.jpg,1x
426,D:\public\img\train\18ad978cad4f2d2d810c17e8a3771cd5.jpg,1x
431,D:\public\img\train\19116950d5eac96fa967fec00e0c914f.jpg,1x
433,D:\public\img\train\194c8dc5fde7c495c246f8ab134b27aa.jpg,3x
436,D:\public\img\train\197b9e916b19320d72e67193c1736e91.jpg,1x
439,D:\public\img\train\198fbb687cb997de39d13b29d72ae9d5.jpg,1x
443,D:\public\img\train\19df9e6f99aead6c839927e4a4f0e5cf.jpg,3x
448,D:\public\img\train\1a3a0655e02b923b42ac62f40d99f5fc.jpg,1x
449,D:\public\img\train\1a59598fe7cf17aab5bdfaf629aeafaf.jpg,3x
455,D:\public\img\train\1a923c2139f451c5d9ab99f20e972135.jpg,3x
458,D:\public\img\train\1ac5d41c4f8a5e392d7a35f3020f43f8.jpg,3x
460,D:\public\img\train\1ad2afcda42da16f3aa9d6524eb4cf8d.jpg,1x
481,D:\public\img\train\1cbb82fd18adfc466b3fec99340bdfeb.jpg,1x
485,D:\public\img\train\1d272a773d3957b6c459f37c48da631d.jpg,1x
488,D:\public\img\train\1d69474b10a5e014eb5330e0d9be6bfb.jpg,1x
491,D:\public\img\train\1d990842772b53eb75c69ffd62a7ca51.jpg,1x
494,D:\public\img\train\1db6959f6b1b615d87222fa259e8c52b.jpg,1x
499,D:\public\img\train\1dff8e9af4162fda6b091cbd8aa13430.jpg,1x
503,D:\public\img\train\1e340082e6141887769ae4b931a61cca.jpg,1x
507,D:\public\img\train\1e8fa4df88fda4562ad70f5f67398043.jpg,1x
512,D:\public\img\train\1ee3e9f452a24d7c268aee3764005837.jpg,3x
520,D:\public\img\train\1f329f60920fee21a9b4f6ddb5ef531d.jpg,1x
521,D:\public\img\train\1f3da6f5c5ff47adae86615a86c447d9.jpg,3x
523,D:\public\img\train\1f648f14cc9c29e71b9e6b5ca94d9d00.jpg,3x
